,IdCliente,cantidad_transacciones,val_compra_min,val_compra_max,prom_compras,total,categoria_ropa,categoria_lactenos,categoria_carnes,categoria_papeleria,categoria_tecnologia,UltimaCompra,PrimeraCompra
0,12347,7,224.82,1294.3200000000004,615.7142857142857,4310.0,11.237122969837587,30.813225058004633,7.604176334106729,20.80510440835267,29.540371229698376,2,367
1,12348,4,227.44,892.8000000000002,449.31000000000006,1797.2400000000002,38.01606908370612,61.98393091629386,0.0,0.0,0.0,75,358
2,12349,1,1757.55,1757.55,1757.55,1757.55,4.513100623026373,52.13848823646554,20.389178117265512,12.245455321327984,10.713777701914598,18,18
3,12350,1,334.4000000000001,334.4000000000001,334.4000000000001,334.4000000000001,11.692583732057415,60.406698564593285,0.0,27.900717703349276,0.0,310,310
4,12352,7,144.35,840.3,340.81571428571425,2385.7099999999996,1.2994035318626322,65.33610539420131,14.691643158640405,4.071324679026371,14.60152323626929,36,296
5,12353,1,89.0,89.0,89.0,89.0,0.0,57.752808988764045,22.35955056179775,19.88764044943821,0.0,204,204
6,12354,1,1079.4,1079.4,1079.4,1079.4,14.950898647396704,38.28701130257549,16.23587178061886,10.825458588104501,19.70075968130443,232,232
7,12355,1,459.4,459.4,459.4,459.4,0.0,63.16935132781889,0.0,11.558554636482372,25.27209403569874,214,214
8,12356,3,58.35,2271.620000000001,937.1433333333335,2811.4300000000007,14.147604599794406,52.82365202050201,13.18474939799319,12.587900107774331,7.256093873936038,22,325
9,12357,1,6207.669999999996,6207.669999999996,6207.669999999996,6207.669999999996,5.08983241699382,26.686341252031774,25.189000059603707,14.684736785299485,28.35008948607129,33,33
10,12358,2,484.86,683.2,584.03,1168.06,0.0,26.895878636371418,70.30460764001852,1.515333116449498,1.284180607160591,1,150
11,12359,4,547.5,2743.100000000001,1550.7575000000002,6203.030000000001,2.520703591631832,42.86115011534684,23.648120354085012,11.479551122596535,19.490474816339763,57,331
12,12360,3,534.7000000000002,1083.58,887.3533333333334,2662.06,11.4783288130245,46.979406925463735,2.9882872662524513,25.986641923923585,12.56733507133573,52,200
13,12361,1,189.9,189.9,189.9,189.9,0.0,81.35860979462875,0.0,18.641390205371255,0.0,287,287
14,12362,10,303.7600000000001,829.9900000000001,515.4580000000001,5154.580000000001,5.426242293261526,41.45827594100779,9.08512429722693,21.888107275471526,22.14225019303221,3,295
15,12363,2,252.90000000000003,299.1,276.0,552.0,17.934782608695652,37.5,8.641304347826088,30.543478260869573,5.380434782608696,109,242
16,12364,4,79.8,623.92,328.275,1313.1,48.54314218262128,42.508567511994514,2.4902901530728814,3.8192064580001532,2.638793694311173,7,112
17,12365,2,320.69,320.69,320.69,641.38,0.785805606660638,74.93841404471608,0.0,16.55804671177773,7.717733636845551,291,291
18,12367,1,168.9,168.9,168.9,168.9,25.932504440497333,52.220248667850775,0.0,15.985790408525755,5.86145648312611,4,4
19,12370,4,277.2,1590.82,886.4225000000001,3545.6900000000005,14.469962123028235,30.759316240280455,8.310089150489748,24.125064514946313,22.335567971255237,51,360
20,12371,2,360.0,1527.9600000000007,943.9800000000004,1887.9600000000007,2.6759041505116627,35.292061272484574,5.94027415835081,27.179601262738608,28.912159155914313,44,59
21,12372,3,383.12,515.7,432.68,1298.04,11.11213830082278,54.42821484700009,6.1246186558195435,19.80678561523528,8.528242581122308,71,296
22,12373,1,364.6,364.6,364.6,364.6,13.98793198025233,34.503565551289086,0.0,46.653867251782785,4.854635216675811,311,311
23,12374,1,742.93,742.93,742.93,742.93,10.628188389215678,49.38150296797815,6.9454726555664745,22.088218270900363,10.95661771633936,25,25
24,12375,2,225.12000000000003,230.30000000000004,227.71000000000004,455.4200000000001,5.599227087084448,17.56620262614729,6.982565543893547,58.91704360809802,10.934961134776687,10,98
25,12377,2,626.6,1001.5199999999996,814.0599999999998,1628.1199999999997,12.279193179863896,32.57130924010516,6.651843844434073,19.402746726285535,29.09490700931136,315,354
26,12378,1,4008.6200000000013,4008.6200000000013,4008.6200000000013,4008.6200000000013,15.080002594409049,34.34249192989109,12.641507551227102,22.231091996747008,15.70490592772575,129,129
27,12379,2,392.4,457.88999999999993,425.145,850.29,9.749614837290808,41.285914217502274,8.96164837878841,28.101000835009238,11.901821731409285,81,170
28,12380,4,446.61,1040.39,680.1400000000001,2720.5600000000004,4.716675978475019,35.66912694445261,7.288940512247478,33.933087305554736,18.392169259270148,21,185
29,12381,5,4.5,1227.39,360.79200000000003,1803.96,9.61329519501541,43.49043216035831,12.22865252001153,20.89791347923457,13.769706645380165,4,119
30,12383,5,99.45,639.9099999999999,367.86199999999997,1839.31,25.780319793835734,46.21461308860387,8.40804432096819,8.106300732339847,11.490722064252356,184,352
31,12384,2,273.58,292.58,283.08,566.16,0.8796100042390845,41.88745231030098,27.032994206584714,16.581884979511095,13.618058499364139,28,121
32,12386,2,143.0,258.90000000000003,200.95000000000002,401.90000000000003,27.668574272207014,43.44364269718835,24.483702413535706,4.4040806170689235,0.0,337,366
33,12388,6,124.05,902.09,463.4433333333334,2780.6600000000003,14.406651658239412,21.027381988448784,10.751044716002674,25.55328591053922,28.261635726769903,15,326
34,12390,1,549.8399999999998,549.8399999999998,549.8399999999998,549.8399999999998,21.10432125709298,33.6643387167176,10.83951695038557,11.021388040157142,23.370435035646747,79,79
35,12391,1,460.88999999999993,460.88999999999993,460.88999999999993,460.88999999999993,9.342793291240863,35.61587363579163,4.740827529345398,24.296469873505607,26.004035670116515,21,21
36,12393,4,177.00000000000003,521.5,395.65000000000003,1582.6000000000001,2.9571591052698087,49.431315556678875,0.9383293314798431,18.254770630607858,28.4184253759636,72,332
37,12394,2,381.08,891.4000000000002,636.2400000000001,1272.4800000000002,18.68477304161951,54.3599899409028,1.5638752671947687,1.3909845341380613,24.000377216144845,63,217
38,12395,12,149.97000000000003,346.67999999999995,249.85666666666665,2998.2799999999997,27.07885854556613,36.079018637352085,3.1367984311004973,18.51328094774338,15.192043438237924,19,371
39,12397,2,1195.09,1214.81,1204.9499999999998,2409.8999999999996,11.51915017220632,46.96667911531599,8.954728411967304,12.963193493505958,19.59624880700445,35,135
40,12398,1,1635.66,1635.66,1635.66,1635.66,26.157025298656194,46.14528691781909,7.57492388393676,11.141679811207709,8.981084088380225,45,45
41,12399,4,130.07999999999998,480.9,277.1625,1108.65,45.95138231182068,43.241780543904746,0.0,6.7884363865963095,4.018400757678257,119,261
42,12401,1,84.3,84.3,84.3,84.3,0.0,61.0320284697509,21.17437722419929,0.0,17.793594306049823,303,303
43,12402,1,225.6,225.6,225.6,225.6,0.0,41.888297872340424,0.0,58.11170212765958,0.0,323,323
44,12403,1,409.7,409.7,409.7,409.7,0.0,4.393458628264584,0.0,0.0,95.60654137173542,49,49
45,12405,1,1710.3900000000006,1710.3900000000006,1710.3900000000006,1710.3900000000006,12.495395786925783,27.827571489543317,21.0712176755009,20.732698390425572,17.8731166576044,148,148
46,12406,2,1486.7,1794.0500000000006,1640.3750000000005,3280.750000000001,10.884096624247501,27.446772841575847,4.215499504686428,24.03291930198887,33.42071172750132,22,183
47,12407,5,192.34,719.0600000000002,341.624,1708.1200000000001,22.470318244619815,47.31342060276795,12.449359529775425,9.722970283118281,8.04393133971852,49,264
48,12408,5,56.90000000000001,751.4900000000001,568.5400000000001,2842.7000000000003,9.150455552819501,36.84525275266472,3.051324445069828,30.861153129067432,20.091814120378515,32,260
49,12409,2,4860.640000000001,6196.289999999999,5528.465,11056.93,9.711375580744383,32.475017929931724,14.15040160333836,17.542120642890925,26.1210842430946,78,182
